Hour,avg_units_sold,avg_net_sales,avg_orders
10,1.5714285714285714,286.53357142857146,11
11,1.2054794520547945,215.74437051598173,175
12,1.2232645403377111,217.99298757973733,421
13,1.2093567251461987,216.24836591695907,679
14,1.2190265486725664,220.41160626474925,1071
15,1.2048780487804878,217.3028044835366,1271
16,1.1948549534756432,215.1608674126984,1387
17,1.194915254237288,216.0415797694915,1352
18,1.1597307221542228,211.07433700550794,1254
19,1.1651705565529622,214.37352284141232,1265
20,1.179179810725552,214.96891302586752,1235
21,1.1641429436705026,212.29314816414293,1224
22,1.165938864628821,214.34394104803494,694
23,1.1666666666666667,210.53780427777778,14
